Sigma3,Eps1,Sig1,Eps3
0,0.00042,4.81796,-0.000069
0,0.000704,15.1441,-0.000159
0,0.000931,25.4704,-0.00022
0,0.001128,36.4853,-0.000311
0,0.001268,47.9135,-0.000372
0,0.001638,59.2032,-0.000462
0,0.001922,69.9425,-0.000466
0,0.002206,80.2686,-0.000815
0,0.002547,90.87,-0.001193
0,0.003118,102.572,-0.002406
0,0.004787,102.98,-0.007729
0,0.005367,91.9629,-0.009682
0,0.005946,80.5326,-0.010886
0,0.006382,69.2403,-0.012177
0,0.006731,58.9122,-0.01341
0,0.006965,47.896,-0.014413
0,0.008033,36.8773,-0.018495
0,0.009131,26.1338,-0.024188
0,0.011005,15.1126,-0.030802
0,0.011066,4.78539,-0.033445
0,0.017539,8.20792,-0.053299
5,0.000417,20.145,-0.000011
5,0.000643,31.5729,-0.000077
5,0.000926,42.1744,-0.000167
5,0.00121,52.9137,-0.000372
5,0.001408,63.9285,-0.00052
5,0.001692,74.9432,-0.000523
5,0.001832,85.5451,-0.000528
5,0.002115,96.5598,-0.000675
5,0.002399,107.299,-0.000823
5,0.002625,118.314,-0.001345
5,0.003053,129.328,-0.001924
5,0.003538,139.654,-0.002503
5,0.004053,150.254,-0.003227
5,0.00483,149.977,-0.006535
5,0.005265,139.235,-0.010186
5,0.005701,128.218,-0.011707
5,0.005992,118.303,-0.01271
5,0.006715,107.286,-0.014778
5,0.00787,95.5783,-0.018169
5,0.008967,85.9364,-0.020956
5,0.010554,74.503,-0.025498
5,0.011565,63.4844,-0.030156
5,0.012201,52.88,-0.032597
5,0.012579,41.8634,-0.034031
5,0.012638,38.4209,-0.034032
5,0.017095,46.2558,-0.051297
10,0.000305,15.2314,-0.000098
10,0.000618,25.9705,-0.000196
10,0.000873,36.2968,-0.000249
10,0.00107,47.0363,-0.000372
10,0.001354,58.464,-0.000376
10,0.001552,69.0658,-0.000552
10,0.001749,80.0807,-0.000704
10,0.001803,89.5814,-0.000758
10,0.002,101.147,-0.000794
10,0.002227,111.749,-0.000856
10,0.00251,123.039,-0.000889
10,0.002852,134.191,-0.00095
10,0.00302,145.481,-0.001155
10,0.003304,156.083,-0.001361
10,0.003703,166.822,-0.001767
10,0.004016,177.148,-0.002174
10,0.004444,187.749,-0.00626
10,0.005738,188.158,-0.009507
10,0.005915,177.417,-0.011172
10,0.006095,155.799,-0.011657
10,0.006177,167.227,-0.012175
10,0.006527,155.247,-0.016318
10,0.007336,145.055,-0.023019
10,0.007484,134.039,-0.025805
10,0.007862,123.435,-0.02819
10,0.009564,112.002,-0.034257
10,0.009597,100.7107,-0.040669
10,0.010061,89.9692,-0.043542
10,0.015353,94.0838,-0.056204
15,0.000445,30.9711,-0.000044
15,0.000671,41.4351,-0.000048
15,0.001013,52.7249,-0.00011
15,0.001095,63.3271,-0.000142
15,0.001379,74.7548,-0.000261
15,0.00172,84.6677,-0.000265
15,0.001947,95.4071,-0.000298
15,0.002029,106.4223,-0.000302
15,0.002169,117.437,-0.000651
15,0.002568,128.452,-0.000741
15,0.002593,138.366,-0.000802
15,0.002934,149.518,-0.000806
15,0.003132,160.808,-0.00081
15,0.003445,170.859,-0.000814
15,0.003843,181.873,-0.000904
15,0.004156,192.887,-0.001023
15,0.004584,203.902,-0.001602
15,0.005069,214.778,-0.002354
15,0.006216,225.101,-0.004775
15,0.009295,225.23,-0.012429
15,0.010047,214.487,-0.015705
15,0.010683,203.883,-0.01924
15,0.012069,192.45,-0.022747
15,0.012763,182.121,-0.02398
15,0.015241,171.511,-0.028205
15,0.017979,160.074,-0.032949
15,0.018673,150.02,-0.033549
15,0.019252,138.315,-0.034754
15,0.019716,127.986,-0.035383
15,0.021128,122.612,-0.039726
15,0.024177,125.907,-0.053394
20,0.00033,35.283,-0.000101
20,0.000527,46.9863,-0.000105
20,0.000754,57.4503,-0.000196
20,0.001009,68.7404,-0.000286
20,0.001293,78.7912,-0.00029
20,0.001577,89.6681,-0.000351
20,0.001716,100.8209,-0.000442
20,0.002,111.6978,-0.000445
20,0.002284,122.162,-0.000593
20,0.002453,133.727,-0.000741
20,0.00265,144.192,-0.000745
20,0.002876,155.482,-0.00081
20,0.003074,165.533,-0.000864
20,0.003272,176.135,-0.001102
20,0.003498,187.838,-0.001253
20,0.003695,198.44,-0.001307
20,0.003979,209.179,-0.001344
20,0.004292,219.092,-0.001405
20,0.004633,230.244,-0.001467
20,0.00555,241.807,-0.002046
20,0.007301,252.129,-0.002999
20,0.008999,252.124,-0.006394
20,0.011736,241.513,-0.016029
20,0.013121,230.08,-0.022183
20,0.016089,219.056,-0.029401
20,0.019085,208.169,-0.035726
20,0.020125,198.114,-0.039463
20,0.020422,172.227,-0.039713
20,0.020474,187.51,-0.039747
20,0.023413,175.798,-0.044548
20,0.025714,177.167,-0.051224
